,hotel_name,hotel_review,hotel_tourlist
79,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
80,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
81,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
82,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
83,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
84,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
85,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
86,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
87,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
88,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
89,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
90,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
91,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
92,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
93,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
94,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
95,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
96,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
97,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
98,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
99,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
100,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
101,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
102,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
103,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
104,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
105,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
106,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
107,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
108,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
109,호텔 대구 그랜드 호텔,작성한 내용이 없습니다,"주변 장소
김광석길
1.7 km
대백프라자
1.7 km
국채보상운동기념공원
2.4 km
경상감영공원
3.4 km
대구 약령시 한의약 박물관
3.4 km
대구 근대역사관
3.5 km
계산성당
3.6 km
계명대학교 동산의료원
4 km
레스토랑 & 카페
카페/바 Starbucks Coffee
0.3 km
마트 & 식료품점
수퍼마켓 GS25 Convenience Store
0.1 km
인기 투어 & 액티비티
서문시장
4.2 km
83타워
5.3 km
대구 카톨릭대학교병원
5.4 km
대구 삼성라이온즈파크
5.5 km
이월드
5.5 km
대구미술관
5.6 km
두류공원
6.2 km
힐크레스트
7.1 km
대구 스파밸리
7.8 km
대구 디아크
14.1 km
대중교통
기차 동대구역
2.5 km
기차 대구역
3.3 km
가장 가까운 공항
대구국제공항
4.8 km
울산공항
71.8 km
포항공항
73.1 km"
